algorithm,dt_actual,n,tir,tbr,tar,cv,bg_mean,magni,action_mean,early_count,action_mean_se,bg_mean_se,coverage,coverage_se,cv_se,magni_se,tar_se,tbr_se,tir_se
TD3-BC,1.0,9,88.70756172839506,2.5640432098765427,8.728395061728396,27.00846155700898,131.7403616250618,4.844921923943964,0.020640374987722476,0,0.00011425219265553771,0.6627357919021818,100.0,0.0,0.5894336013670359,0.2519695108485893,0.4020211677613847,0.4386265285503869,0.6461396671239957
PID,1.0,3,85.63888888888887,1.9976851851851851,12.363425925925926,27.174425732314102,136.99503723802982,4.578634410202231,0.0190401367413142,0,0.00013961764036150842,0.7549920833191177,100.0,0.0,0.9979204064398611,0.4018670854050002,1.0038853062784943,0.652153628588546,1.565665517719063
PhiBE-alpha1.25,1.0,9,89.06172839506172,4.508487654320987,6.429783950617284,28.18784260929294,125.32957804955348,5.974620863028183,0.022321607083948845,0,0.0003817516008974054,1.5829192151558056,100.0,0.0,0.6111807611816599,0.3989799408633619,0.5742145843907074,0.7985882794792016,0.7868050485677401
TD3-BC,3.0,9,69.26388888888887,0.07175925925925926,30.664351851851848,24.977930871075746,156.76607108288476,3.9686789937473343,0.025386983607184246,0,0.00021290077323576556,1.1322169875272616,100.0,0.0,0.3154288589678573,0.10375631954131442,1.4185353469108646,0.02506528683762467,1.4309389656105085
PID,3.0,3,61.041666666666664,0.041666666666666664,38.916666666666664,24.50195707217304,164.5217510173701,4.402977506528269,0.023767324470806872,0,0.0001022304139958224,0.7711130719582412,100.0,0.0,0.9631562289375394,0.21392399230858816,0.9522755398012209,0.04166666666666667,0.9559148226427663
PhiBE-alpha1.25,3.0,9,71.97916666666666,0.2060185185185185,27.814814814814817,25.655809977883077,153.07209740149426,4.00454893754035,0.026335289866590218,0,0.0003124909024711435,1.5602870534705584,100.0,0.0,0.4597573024775175,0.13459011078180616,1.6425756130641471,0.10499924472260856,1.6485853690773196
TD3-BC,5.0,9,62.291666666666664,0.0462962962962963,37.66203703703704,24.00058424366152,164.8712575732248,4.303216602599124,0.025765013561316732,0,0.0002668985716325925,1.559421301534095,100.0,0.0,0.35892705735055275,0.11981488556167291,1.5419929132888577,0.017361111111111112,1.5460706027074715
PID,5.0,3,53.194444444444436,0.0,46.80555555555555,23.069706052424895,174.13417323523905,4.976301251132422,0.023785757254840213,0,8.373341648589762e-05,0.8837692821902283,100.0,0.0,0.8287464509988425,0.18230912360105336,1.00154202096222,0.0,1.0015420209622206
PhiBE-alpha1.25,5.0,9,65.22376543209877,0.09259259259259259,34.683641975308646,24.668988162252507,161.64261586235435,4.253362442489365,0.026557900816242406,0,0.0004208977723827593,2.248291504752494,100.0,0.0,0.48340578864252143,0.1615039846183074,2.0987281989934448,0.05143631028539114,2.089842511955192
