patient,algorithm,train_seed,test_seed,dt_requested,dt_actual,sensor,test_days,tir,tbr,tar,cv,bg_mean,bg_std,magni,action_mean,coverage,early_termination,action_max,action_min,action_std,expected_steps,insulin_max,insulin_mean,insulin_min,insulin_std,n_steps,reward_sum
adult#1,PID,,1,5.0,5.0,GuardianRT,10.0,53.75,0.0,46.25,24.655796685562574,173.8942527661016,42.87501340988828,5.310409784071262,0.023843029997424815,100.0,False,0.08402280509471893,-0.03032759204506874,0.013798184984599447,2880,0.08402280509471893,0.023843029997424815,-0.03032759204506874,0.013798184984599447,2880,-15293.98017812523
adult#1,PhiBE-alpha1.25,0,1,5.0,5.0,GuardianRT,10.0,57.56944444444444,0.034722222222222224,42.395833333333336,24.261679670392077,170.93270034921417,41.4711442106775,4.952967436280794,0.024804378431872463,100.0,False,0.08198221027851105,0.0,0.011253713275654073,2880,0.6513274012070221,0.028101644514782968,-0.02491057602120437,0.03857502826064278,2880,-14264.546216488685
adult#1,TD3-BC,0,2,1.0,1.0,Navigator,10.0,88.29861111111111,4.0625,7.638888888888889,27.384032508436828,129.56507510171008,35.480142285432876,5.190679548620396,0.020782026860332634,100.0,False,0.08017618209123611,0.0,0.013383863326711282,14400,11.078533188809931,0.034342273279260926,0.0,0.310079893189407,14400,-74745.78550013366
adult#1,PID,,2,1.0,1.0,Navigator,10.0,85.64583333333333,2.520833333333333,11.833333333333334,27.280043492054773,136.37086300982298,37.20203073957014,4.5855775307802205,0.01892532785351149,100.0,False,0.043876223266124725,-0.021494872868061066,0.0031859527987815094,14400,0.043876223266124725,0.01892532785351149,-0.021494872868061066,0.0031859527987815094,14400,-66032.31644323537
adult#1,PhiBE-alpha1.25,0,2,1.0,1.0,Navigator,10.0,88.54861111111111,4.034722222222222,7.416666666666667,27.229960235338368,128.5041371077311,34.99162543519988,5.12483031647584,0.021119304996747006,100.0,False,0.061815403401851654,0.0,0.011217908845866776,14400,11.138054495773101,0.034509362922543266,0.0,0.3072646750163141,14400,-73797.55655725222
adult#1,TD3-BC,0,2,3.0,3.0,Dexcom,10.0,72.95833333333334,0.0,27.041666666666668,24.282979867690326,155.73652302562982,37.8174685329546,3.6161358349420336,0.02517929784604348,100.0,False,0.061689022928476334,0.0,0.009547969940082151,4800,1.6272278341852509,0.030042172828581983,0.0,0.06876046434484497,4800,-17357.452007721724
adult#1,PID,,2,3.0,3.0,Dexcom,10.0,62.79166666666667,0.0,37.20833333333333,24.16397881384156,163.5660369131958,39.5240625063449,4.188348815123892,0.023562907117889154,100.0,False,0.07847961038351059,-0.01773802936077118,0.008173735041325412,4800,0.07847961038351059,0.023562907117889154,-0.01773802936077118,0.008173735041325412,4800,-20104.074312594727
adult#1,PhiBE-alpha1.25,0,2,3.0,3.0,Dexcom,10.0,71.22916666666667,0.0,28.770833333333336,24.485018696794246,155.5964795625398,38.09782711244151,3.6117996283991562,0.025371638441380736,100.0,False,0.0818001925945282,0.0,0.010131071586054453,4800,1.6099036157534543,0.030112095971816237,0.0,0.0681236357350765,4800,-17336.63821631592
adult#1,TD3-BC,0,2,5.0,5.0,GuardianRT,10.0,63.645833333333336,0.0,36.354166666666664,23.233930216462525,165.07588917673712,38.35361689552812,4.019774895392555,0.02527369783395746,100.0,False,0.0785515159368515,0.0,0.01028572664803013,2880,0.7445207206218186,0.02865373985593127,0.0,0.040145375172405184,2880,-11576.951698730543
adult#1,PID,,2,5.0,5.0,GuardianRT,10.0,54.58333333333333,0.0,45.416666666666664,22.693433356998842,172.7375672632755,39.20008470939248,4.68280147937458,0.023620835411736606,100.0,False,0.09862757474184036,-0.044551048427820206,0.013294456690709312,2880,0.09862757474184036,0.023620835411736606,-0.044551048427820206,0.013294456690709312,2880,-13486.468260598776
