algorithm,dt_actual,n,tir,tbr,tar,cv,bg_mean,magni,action_mean,early_count,action_mean_se,bg_mean_se,coverage,coverage_se,cv_se,magni_se,tar_se,tbr_se,tir_se
TD3-BC,1.0,3,88.77314814814815,2.9212962962962963,8.305555555555555,27.280878070481958,130.42420899446515,5.025388594743557,0.02097961827720239,0,4.0433508488798143e-05,1.1207963351715695,100.0,0.0,1.102621423131839,0.488208198523016,0.5775173023969944,0.9710503298703365,1.3805672770697452
PID,1.0,3,85.63888888888887,1.9976851851851851,12.363425925925926,27.174425732314102,136.99503723802982,4.578634410202231,0.0190401367413142,0,0.00013961764036150842,0.7549920833191177,100.0,0.0,0.9979204064398611,0.4018670854050002,1.0038853062784943,0.652153628588546,1.565665517719063
PhiBE-alpha1.5,1.0,3,77.34027777777777,20.30324074074074,2.3564814814814814,35.18844425914917,102.34273208250845,15.081936365553204,0.029445109334343147,0,0.00038305459269575665,2.0023354551070502,100.0,0.0,1.122405793255928,1.1706566576731279,0.44151110506814095,1.3201590007949702,1.5304112404235741
TD3-BC,3.0,3,72.0,0.10416666666666667,27.895833333333332,25.57645025938855,153.45671875146934,3.961977313653847,0.026124528719875445,0,0.0001474284621044599,1.578913764517094,100.0,0.0,0.6666002240068719,0.19734227764461518,2.541666666666667,0.06014065304058602,2.5939243024878444
PID,3.0,3,61.041666666666664,0.041666666666666664,38.916666666666664,24.50195707217304,164.5217510173701,4.402977506528269,0.023767324470806872,0,0.0001022304139958224,0.7711130719582412,100.0,0.0,0.9631562289375394,0.21392399230858816,0.9522755398012209,0.04166666666666667,0.9559148226427663
PhiBE-alpha1.5,3.0,3,79.20833333333333,2.3958333333333335,18.395833333333332,28.948127106453892,140.1029459366647,5.10147611481693,0.029597454376635145,0,9.635862926825877e-05,0.6539820802413199,100.0,0.0,1.0543013147320985,0.5004319507598171,1.8350292030171957,1.085001386754533,2.9120002352971035
TD3-BC,5.0,3,66.04166666666667,0.08101851851851853,33.87731481481482,24.958263405110305,159.93987564005906,4.133490831227907,0.026732760165274764,0,0.00024586031212766674,2.030047952056314,100.0,0.0,0.513869812833658,0.21600077628576184,2.80758983057026,0.04173091754009247,2.8483511763594604
PID,5.0,3,53.194444444444436,0.0,46.80555555555555,23.069706052424895,174.13417323523905,4.976301251132422,0.023785757254840213,0,8.373341648589762e-05,0.8837692821902283,100.0,0.0,0.8287464509988425,0.18230912360105336,1.00154202096222,0.0,1.0015420209622206
PhiBE-alpha1.5,5.0,3,75.10416666666667,1.516203703703704,23.37962962962963,28.191237859921312,146.61428477094236,4.706637947274183,0.02993223635852768,0,0.00018977543965179527,1.2065265176440558,100.0,0.0,1.0315354367676286,0.47587117031223625,1.8190085237849205,0.7918730779211726,2.6058636446219023
