algorithm,dt_actual,n,tir,tbr,tar,cv,bg_mean,magni,action_mean,early_count,action_mean_se,bg_mean_se,coverage,coverage_se,cv_se,magni_se,tar_se,tbr_se,tir_se
TD3-BC,1.0,9,88.70756172839506,2.5640432098765427,8.728395061728396,27.00846155700898,131.7403616250618,4.844921923943964,0.020640374987722476,0,0.00011425219265553771,0.6627357919021818,100.0,0.0,0.5894336013670359,0.2519695108485893,0.4020211677613847,0.4386265285503869,0.6461396671239957
PID,1.0,3,85.63888888888887,1.9976851851851851,12.363425925925926,27.174425732314102,136.99503723802982,4.578634410202231,0.0190401367413142,0,0.00013961764036150842,0.7549920833191177,100.0,0.0,0.9979204064398611,0.4018670854050002,1.0038853062784943,0.652153628588546,1.565665517719063
PhiBE-alpha1.75,1.0,9,85.86651234567901,8.700617283950617,5.43287037037037,29.822607461563432,120.21866564990442,7.960948536194779,0.023864454482646118,0,0.0009756384497723879,3.4025448191741234,100.0,0.0,1.0518726464070436,1.1611837006491157,0.874658528804014,2.3319905163767043,1.767013846350462
TD3-BC,3.0,9,69.26388888888887,0.07175925925925926,30.664351851851848,24.977930871075746,156.76607108288476,3.9686789937473343,0.025386983607184246,0,0.00021290077323576556,1.1322169875272616,100.0,0.0,0.3154288589678573,0.10375631954131442,1.4185353469108646,0.02506528683762467,1.4309389656105085
PID,3.0,3,61.041666666666664,0.041666666666666664,38.916666666666664,24.50195707217304,164.5217510173701,4.402977506528269,0.023767324470806872,0,0.0001022304139958224,0.7711130719582412,100.0,0.0,0.9631562289375394,0.21392399230858816,0.9522755398012209,0.04166666666666667,0.9559148226427663
PhiBE-alpha1.75,3.0,9,76.69444444444444,0.7685185185185186,22.537037037037038,27.124043103512008,146.34248258628637,4.4079634695445025,0.02784058999071863,0,0.0005007228921579577,2.209154278615156,100.0,0.0,0.44730130282028674,0.17195370244960065,2.088026478257066,0.347681024041776,1.9952683225602375
TD3-BC,5.0,9,62.291666666666664,0.0462962962962963,37.66203703703704,24.00058424366152,164.8712575732248,4.303216602599124,0.025765013561316732,0,0.0002668985716325925,1.559421301534095,100.0,0.0,0.35892705735055275,0.11981488556167291,1.5419929132888577,0.017361111111111112,1.5460706027074715
PID,5.0,3,53.194444444444436,0.0,46.80555555555555,23.069706052424895,174.13417323523905,4.976301251132422,0.023785757254840213,0,8.373341648589762e-05,0.8837692821902283,100.0,0.0,0.8287464509988425,0.18230912360105336,1.00154202096222,0.0,1.0015420209622206
PhiBE-alpha1.75,5.0,9,72.91666666666667,0.33179012345679015,26.751543209876544,26.35016143675781,152.1309726488943,4.235485011050415,0.028491226626333008,0,0.0004522277053630287,2.2003330219760873,100.0,0.0,0.3771591497804312,0.1302797761733467,2.1513547472718684,0.14800692133656082,2.1397329783860575
