algorithm,dt_actual,n,tir,tbr,tar,cv,bg_mean,magni,action_mean,early_count,action_mean_se,bg_mean_se,coverage,coverage_se,cv_se,magni_se,tar_se,tbr_se,tir_se
TD3-BC,1.0,3,88.77314814814815,2.9212962962962963,8.305555555555555,27.280878070481958,130.42420899446515,5.025388594743557,0.02097961827720239,0,4.0433508488798143e-05,1.1207963351715695,100.0,0.0,1.102621423131839,0.488208198523016,0.5775173023969944,0.9710503298703365,1.3805672770697452
PID,1.0,3,85.63888888888887,1.9976851851851851,12.363425925925926,27.174425732314102,136.99503723802982,4.578634410202231,0.0190401367413142,0,0.00013961764036150842,0.7549920833191177,100.0,0.0,0.9979204064398611,0.4018670854050002,1.0038853062784943,0.652153628588546,1.565665517719063
PhiBE-alpha1.3,1.0,3,89.52314814814815,5.314814814814815,5.162037037037037,28.702073080688454,122.05735178540858,6.549554933996503,0.023237118921846284,0,7.0030970039293e-05,1.0331228979518796,100.0,0.0,1.028207421969029,0.4721208714671704,0.6888820439723659,1.0081197908426434,1.5678885136671667
TD3-BC,3.0,3,72.0,0.10416666666666667,27.895833333333332,25.57645025938855,153.45671875146934,3.961977313653847,0.026124528719875445,0,0.0001474284621044599,1.578913764517094,100.0,0.0,0.6666002240068719,0.19734227764461518,2.541666666666667,0.06014065304058602,2.5939243024878444
PID,3.0,3,61.041666666666664,0.041666666666666664,38.916666666666664,24.50195707217304,164.5217510173701,4.402977506528269,0.023767324470806872,0,0.0001022304139958224,0.7711130719582412,100.0,0.0,0.9631562289375394,0.21392399230858816,0.9522755398012209,0.04166666666666667,0.9559148226427663
PhiBE-alpha1.3,3.0,3,73.95833333333333,0.39583333333333326,25.645833333333332,26.12539036354275,150.34920097102665,3.9997520853025574,0.02699087458416923,0,1.8080754888602575e-05,0.8934525384690547,100.0,0.0,0.9218252228015306,0.31931908046789864,1.9627978070808731,0.32564928021370426,2.1599455047137956
TD3-BC,5.0,3,66.04166666666667,0.08101851851851853,33.87731481481482,24.958263405110305,159.93987564005906,4.133490831227907,0.026732760165274764,0,0.00024586031212766674,2.030047952056314,100.0,0.0,0.513869812833658,0.21600077628576184,2.80758983057026,0.04173091754009247,2.8483511763594604
PID,5.0,3,53.194444444444436,0.0,46.80555555555555,23.069706052424895,174.13417323523905,4.976301251132422,0.023785757254840213,0,8.373341648589762e-05,0.8837692821902283,100.0,0.0,0.8287464509988425,0.18230912360105336,1.00154202096222,0.0,1.0015420209622206
PhiBE-alpha1.3,5.0,3,69.86111111111113,0.11574074074074074,30.02314814814815,25.50986793026215,155.93699498708756,4.022914506040742,0.02772428812588461,0,7.67534162265263e-05,0.8047200647454907,100.0,0.0,0.8101106659002881,0.2944216803405633,1.7732524024084846,0.07040234410067385,1.8350292030171942
